Experiment,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,R1,R2,reference_sequence,project_name,condition_name,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,notes,Title,Condition,additional_notes
SRX1464764,3/30/16 17:09,1116234,Acinetobacter baumannii AB5075,470,1236,1116234,Acinetobacter baumannii,SINGLE,ION_TORRENT,Ion Torrent PGM,SRR2975437,SRP067003,PRJNA305130,305130,SRS1191568,SAMN04317117,SRA314992,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,2069545,4317117,GSE75708,GSM1964577,28348845,0,0,0,0,0,AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRX1928983,9/29/16 16:56,470,Acinetobacter baumannii,470,1236,470,Acinetobacter baumannii,SINGLE,ILLUMINA,Illumina HiSeq 4000,SRR3841876,SRP078280,PRJNA328520,328520,SRS1555260,SAMN05374967,SRA439454,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,2779469,0,GSM2230770,27681618,5374963,AB5075-UW,0,0,0,0,AB_LOS,WT_AB5075,WT_AB5075,AB5075 ,0,0,0,0,0,0,0,0,0,0,0,0,0
SRX1928979,9/29/16 16:56,470,Acinetobacter baumannii,470,1236,470,Acinetobacter baumannii,SINGLE,ILLUMINA,Illumina HiSeq 4000,SRR3841871,SRP078280,PRJNA328520,328520,SRS1555256,SAMN05374963,SRA439454,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,2779465,GSE84282,GSM2230766,27681618,5374963,AB5075-UW,0,0,0,0,AB_LOS,LOS_AB5075,WT_AB5075,AB5075 LOS-,0,0,0,0,0,0,0,0,0,0,0,0,0
SRX1928984,9/29/16 16:56,470,Acinetobacter baumannii,470,1236,470,Acinetobacter baumannii,SINGLE,ILLUMINA,Illumina HiSeq 4000,SRR3841877,SRP078280 ,PRJNA328520,328520,SRS1555261,SAMN05374968,SRA439454,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,2779470,0,GSM2230766,27681618,5374963,AYE,0,0,0,0,AB_LOS,WT_AYE,WT_AB5075,AYE,0,0,0,0,0,0,0,0,0,0,0,0,0
SRX1928980,9/29/16 16:56,470,Acinetobacter baumannii,470,1236,470,Acinetobacter baumannii,SINGLE,ILLUMINA,Illumina HiSeq 4000,SRR3841872,SRP078280 ,PRJNA328520,328520,SRS1555257 ,SAMN05374968,SRA439454,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,2779466,0,GSM2230766,27681618,5374963,AYE,0,0,0,0,AB_LOS,LOS_AYE,WT_AB5075,AYE LOS-,0,0,0,0,0,0,0,0,0,0,0,0,0
SRX2568047,2/22/17 4:08,470,Acinetobacter baumannii,470,1236,470,Acinetobacter baumannii,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5263925,SRP100071,PRJNA375077,375077,SRS1984420,SAMN06342413,SRA538470,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,UNIVERSITY OF CHICAGO,0,0,3710439,6342413,0,28264991,0,AB5075-UW,0,0,0,0,AB5075_gigAB,kan_gigB,WT,AB5075-UW del_gigB,LB,0,0,0,0,0,0,0,0,0,0,0,0
SRX2568048,2/22/17 4:08,470,Acinetobacter baumannii,470,1236,470,Acinetobacter baumannii,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5263926,SRP100071,PRJNA375077,375077,SRS1984422,SAMN06342412,SRA538470,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,UNIVERSITY OF CHICAGO,0,0,3710440,6342412,0,28264991,0,AB5075-UW,0,0,0,0,AB5075_gigAB,kan_gigB,WT,AB5075-UW del_gigB,LB,0,0,0,0,0,0,0,0,0,0,0,0
SRX2568049,2/22/17 4:08,470,Acinetobacter baumannii,470,1236,470,Acinetobacter baumannii,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5263927,SRP100071,PRJNA375077,375077,SRS1984423,SAMN06342411,SRA538470,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,UNIVERSITY OF CHICAGO,0,0,3710441,6342411,0,28264991,0,AB5075-UW,0,0,0,0,AB5075_gigAB,kan_gigB,WT,AB5075-UW del_gigB,LB,0,0,0,0,0,0,0,0,0,0,0,0
SRX2568050,2/22/17 4:08,470,Acinetobacter baumannii,470,1236,470,Acinetobacter baumannii,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5263928,SRP100071,PRJNA375077,375077,SRS1984421,SAMN06342410,SRA538470,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,UNIVERSITY OF CHICAGO,0,0,3710442,6342410,0,28264991,0,AB5075-UW,0,0,0,0,AB5075_gigAB,gigB,WT,AB5075-UW del_gigB,LB,0,0,0,0,0,0,0,0,0,0,0,0
SRX2568051,2/22/17 4:08,470,Acinetobacter baumannii,470,1236,470,Acinetobacter baumannii,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5263929,SRP100071,PRJNA375077,375077,SRS1984424,SAMN06342409,SRA538470,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,UNIVERSITY OF CHICAGO,0,0,3710443,0,0,28264991,6342409,AB5075-UW,0,0,0,0,AB5075_gigAB,gigB,WT,AB5075-UW del_gigB,LB,0,0,0,0,0,0,0,0,0,0,0,0
